,일시,평균기온,최고기온,최저기온,일조합,일조율,일사합,평균풍속,최대풍속,최대풍속풍향,강수량,평균습도,최저습도
181,2015-07-01,22.9,26.3,20.5,7.0,48.6,21.81,3.8,6.4,290.0,0.1,83.5,68.0
182,2015-07-02,22.9,25.5,19.6,5.5,38.5,19.84,1.8,3.5,320.0,0.0,70.5,53.0
183,2015-07-03,23.9,26.0,21.6,4.5,31.5,18.11,2.0,3.4,320.0,0.0,76.9,53.0
184,2015-07-04,22.5,24.4,21.3,3.3,23.1,15.88,2.0,5.4,20.0,0.0,77.8,54.0
185,2015-07-05,22.0,24.2,20.5,3.8,26.6,16.87,2.4,5.6,50.0,0.0,80.9,72.0
186,2015-07-06,21.4,23.5,20.3,0.0,0.0,7.16,2.5,4.8,50.0,1.4,85.4,69.0
187,2015-07-07,20.7,22.3,19.1,0.0,0.0,3.04,3.5,7.0,50.0,53.7,95.1,91.0
188,2015-07-08,25.8,31.6,19.9,1.2,8.4,14.74,1.6,3.9,20.0,82.1,86.9,64.0
189,2015-07-09,24.9,29.0,22.8,7.7,53.8,24.08,3.5,6.6,70.0,0.0,86.0,72.0
190,2015-07-10,23.6,25.2,22.1,0.0,0.0,8.04,3.9,5.7,70.0,0.0,89.6,83.0
191,2015-07-11,24.3,26.4,23.0,0.0,0.0,3.16,4.7,8.9,110.0,98.9,92.5,89.0
192,2015-07-12,26.5,28.7,23.8,0.0,0.0,4.41,5.7,11.1,140.0,88.7,82.1,69.0
193,2015-07-13,27.8,33.0,23.4,12.0,84.5,27.32,6.3,10.9,230.0,0.0,67.6,43.0
194,2015-07-14,26.5,29.9,24.1,9.4,66.2,22.54,1.9,4.2,20.0,0.0,73.8,63.0
195,2015-07-15,25.2,27.9,22.4,10.8,76.1,25.36,2.7,6.4,50.0,0.0,82.9,71.0
196,2015-07-16,24.8,28.6,22.1,6.9,48.6,22.1,3.4,5.7,50.0,0.0,74.3,56.0
197,2015-07-17,24.2,26.7,21.6,9.1,64.5,23.2,2.0,4.1,20.0,0.0,81.5,65.0
198,2015-07-18,25.0,29.2,22.8,9.7,68.8,25.71,2.9,6.6,50.0,0.0,72.0,57.0
199,2015-07-19,25.6,29.8,22.7,9.3,66.0,26.43,3.5,6.5,50.0,0.0,82.4,68.0
200,2015-07-20,24.3,27.1,22.8,4.0,28.4,20.12,3.3,5.8,50.0,0.0,90.1,78.0
201,2015-07-21,24.3,27.4,22.8,4.0,28.4,18.26,1.7,4.7,20.0,0.0,92.5,77.0
